,R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
0,5678,5674,5991,5961,4634,4623,5034,5010,6323,6304,6681,6655,15591.0,15557.0,16421.0,16323.0,2018-10-22 09:33:15
1,5649,5674,5980,5961,4628,4623,5039,5010,6339,6304,6700,6655,15645.0,15557.0,16440.0,16323.0,2018-10-22 09:35:15
2,5678,5674,6009,5961,4644,4623,5060,5010,6354,6304,6721,6655,15632.0,15557.0,16513.0,16323.0,2018-10-22 09:37:15
3,5659,5674,6034,5961,4640,4623,5050,5010,6361,6304,6717,6655,15615.0,15557.0,16557.0,16323.0,2018-10-22 09:39:15
4,5675,5674,6004,5961,4649,4623,5052,5010,6370,6304,6707,6655,15649.0,15557.0,16503.0,16323.0,2018-10-22 09:41:15
5,5654,5674,6031,5961,4642,4623,5067,5010,6373,6304,6719,6655,15625.0,15557.0,16560.0,16323.0,2018-10-22 09:43:16
6,7589,5674,6028,5961,6130,4623,5080,5010,8321,6304,6753,6655,20305.0,15557.0,16602.0,16323.0,2018-10-22 09:45:16
7,7548,5674,6054,5961,6115,4623,5095,5010,8322,6304,6765,6655,20249.0,15557.0,16653.0,16323.0,2018-10-22 09:47:16
8,7583,5674,6081,5961,6131,4623,5108,5010,8331,6304,6774,6655,20309.0,15557.0,16701.0,16323.0,2018-10-22 09:49:16
9,7554,5674,6050,5961,6121,4623,5097,5010,8331,6304,6774,6655,20269.0,15557.0,16663.0,16323.0,2018-10-22 09:51:16
10,5682,5674,7988,5961,4659,4623,6676,5010,6413,6304,8862,6655,15668.0,15557.0,21365.0,16323.0,2018-10-22 09:53:17
11,5717,5674,8021,5961,4675,4623,6692,5010,6409,6304,8863,6655,15725.0,15557.0,21425.0,16323.0,2018-10-22 09:55:16
12,5693,5674,7987,5961,4666,4623,6681,5010,6416,6304,8873,6655,15694.0,15557.0,21389.0,16323.0,2018-10-22 09:57:17
13,5673,5674,8011,5961,4659,4623,6693,5010,6417,6304,8882,6655,15666.0,15557.0,21431.0,16323.0,2018-10-22 09:59:17
14,7564,5674,7980,5961,6119,4623,6682,5010,8330,6304,8888,6655,20272.0,15557.0,21399.0,16323.0,2018-10-22 10:01:17
15,7600,5674,8001,5961,6134,4623,6693,5010,8336,6304,8897,6655,20331.0,15557.0,21438.0,16323.0,2018-10-22 10:03:17
16,7567,5674,8025,5961,6122,4623,6707,5010,8335,6304,8908,6655,20286.0,15557.0,21487.0,16323.0,2018-10-22 10:05:17
17,7582,5674,7992,5961,6129,4623,6696,5010,8339,6304,8910,6655,20313.0,15557.0,21446.0,16323.0,2018-10-22 10:07:17
18,7554,5674,8013,5961,6119,4623,6707,5010,8336,6304,8918,6655,20273.0,15557.0,21493.0,16323.0,2018-10-22 10:09:18
19,2349,5674,3611,5961,1507,4623,2361,5010,1628,6304,2595,6655,5776.0,15557.0,8442.0,16323.0,2018-10-22 10:35:20
20,2448,5674,2843,5961,1553,4623,1884,5010,1698,6304,1905,6655,5987.0,15557.0,6982.0,16323.0,2018-10-22 10:37:20
21,2335,5674,3002,5961,1535,4623,2112,5010,1698,6304,2257,6655,5908.0,15557.0,7687.0,16323.0,2018-10-22 10:39:20
22,5384,5674,5942,5961,4270,4623,4956,5010,5746,6304,6506,6655,14339.0,15557.0,16107.0,16323.0,2018-10-22 13:38:19
23,5633,5674,6117,5961,4536,4623,5161,5010,6170,6304,6886,6655,15198.0,15557.0,16792.0,16323.0,2018-10-22 13:41:46
24,5637,5674,6131,5961,4555,4623,5184,5010,6210,6304,6931,6655,15262.0,15557.0,16871.0,16323.0,2018-10-22 13:43:40
25,5637,5674,6174,5961,4566,4623,5213,5010,6237,6304,6964,6655,15300.0,15557.0,16975.0,16323.0,2018-10-22 13:45:40
26,5658,5674,6152,5961,4573,4623,5208,5010,6234,6304,6967,6655,15311.0,15557.0,16942.0,16323.0,2018-10-22 13:47:40
27,5643,5674,6209,5961,4577,4623,5244,5010,6261,6304,7002,6655,15322.0,15557.0,17065.0,16323.0,2018-10-22 13:49:41
28,5638,5674,6199,5961,4581,4623,5248,5010,6277,6304,7021,6655,15335.0,15557.0,17077.0,16323.0,2018-10-22 13:51:40
29,5676,5674,6235,5961,4602,4623,5268,5010,6294,6304,7038,6655,15412.0,15557.0,17147.0,16323.0,2018-10-22 13:53:41
30,5652,5674,6219,5961,4596,4623,5267,5010,6303,6304,7049,6655,15390.0,15557.0,17140.0,16323.0,2018-10-22 13:55:41
31,5689,5674,6252,5961,4615,4623,5284,5010,6315,6304,7061,6655,15460.0,15557.0,17203.0,16323.0,2018-10-22 13:57:41
32,5672,5674,6230,5961,4610,4623,5278,5010,6320,6304,7067,6655,15443.0,15557.0,17180.0,16323.0,2018-10-22 13:59:41
33,5695,5674,6259,5961,4622,4623,5293,5010,6328,6304,7077,6655,15485.0,15557.0,17235.0,16323.0,2018-10-22 14:01:41
34,5679,5674,6240,5961,4617,4623,5288,5010,6332,6304,7082,6655,15468.0,15557.0,17215.0,16323.0,2018-10-22 14:03:41
35,5664,5674,6268,5961,4613,4623,5302,5010,6334,6304,7092,6655,15450.0,15557.0,17266.0,16323.0,2018-10-22 14:05:42
36,5681,5674,6244,5961,4622,4623,5294,5010,6341,6304,7095,6655,15484.0,15557.0,17237.0,16323.0,2018-10-22 14:07:42
37,5718,5674,6271,5961,4616,4623,5308,5010,6342,6304,7104,6655,15545.0,15557.0,17284.0,16323.0,2018-10-22 14:09:42
38,5694,5674,6246,5961,4629,4623,5299,5010,6349,6304,7105,6655,15512.0,15557.0,17251.0,16323.0,2018-10-22 14:11:42
39,5714,5674,6268,5961,4638,4623,5310,5010,6354,6304,7112,6655,15547.0,15557.0,17292.0,16323.0,2018-10-22 14:13:45
40,5691,5674,6245,5961,4630,4623,5302,5010,6354,6304,7113,6655,15516.0,15557.0,17262.0,16323.0,2018-10-22 14:15:42
41,5674,5674,6267,5961,4624,4623,5313,5010,6354,6304,7119,6655,15493.0,15557.0,17302.0,16323.0,2018-10-22 14:17:44
42,5689,5674,6291,5961,4631,4623,5323,5010,6359,6304,7124,6655,15520.0,15557.0,17340.0,16323.0,2018-10-22 14:19:44
43,5723,5674,6264,5961,4645,4623,5313,5010,6364,6304,7124,6655,15572.0,15557.0,17303.0,16323.0,2018-10-22 14:21:44
44,5700,5674,6285,5961,4637,4623,5323,5010,6364,6304,7128,6655,15540.0,15557.0,17341.0,16323.0,2018-10-22 14:23:44
45,5717,5674,6259,5961,4644,4623,5313,5010,6367,6304,7127,6655,15570.0,15557.0,17301.0,16323.0,2018-10-22 14:25:45
46,5694,5674,6280,5961,4635,4623,5322,5010,6366,6304,7131,6655,15535.0,15557.0,17337.0,16323.0,2018-10-22 14:27:43
47,5725,5674,6303,5961,4649,4623,5333,5010,6371,6304,7135,6655,15586.0,15557.0,17374.0,16323.0,2018-10-22 14:29:43
48,5688,5674,6273,5961,4634,4623,5321,5010,6368,6304,7133,6655,15530.0,15557.0,17331.0,16323.0,2018-10-22 14:35:35
49,5716,5674,6296,5961,4645,4623,5331,5010,6372,6304,7137,6655,15575.0,15557.0,17366.0,16323.0,2018-10-22 14:35:35
50,5693,5674,6269,5961,4636,4623,5319,5010,6370,6304,7135,6655,15541.0,15557.0,17325.0,16323.0,2018-10-22 14:35:44
51,5723,5674,6286,5961,4649,4623,5327,5010,6375,6304,7139,6655,15590.0,15557.0,17356.0,16323.0,2018-10-22 14:37:44
52,5692,5674,6317,5961,4637,4623,5341,5010,6373,6304,7138,6655,15543.0,15557.0,17404.0,16323.0,2018-10-22 14:39:44
53,5717,5674,6283,5961,4647,4623,5327,5010,6377,6304,7141,6655,15583.0,15557.0,17352.0,16323.0,2018-10-22 14:41:50
54,5694,5674,6302,5961,4638,4623,5336,5010,6374,6304,7144,6655,15547.0,15557.0,17385.0,16323.0,2018-10-22 14:43:44
55,5707,5674,6275,5961,4644,4623,5325,5010,6377,6304,7143,6655,15570.0,15557.0,17345.0,16323.0,2018-10-22 14:45:44
56,5739,5674,6290,5961,4635,4623,5331,5010,6374,6304,7144,6655,15618.0,15557.0,17369.0,16323.0,2018-10-22 14:47:46
57,5711,5674,6310,5961,4645,4623,5339,5010,6379,6304,7147,6655,15576.0,15557.0,17400.0,16323.0,2018-10-22 14:49:45
58,5726,5674,6280,5961,4652,4623,5327,5010,6381,6304,7144,6655,15602.0,15557.0,17355.0,16323.0,2018-10-22 14:51:45
59,5700,5674,6296,5961,4641,4623,5334,5010,6378,6304,7147,6655,15561.0,15557.0,17380.0,16323.0,2018-10-22 14:53:46
60,5727,5674,6315,5961,4652,4623,5343,5010,6383,6304,7150,6655,15604.0,15557.0,17411.0,16323.0,2018-10-22 14:55:45
61,5742,5674,6282,5961,4637,4623,5329,5010,6378,6304,7147,6655,15629.0,15557.0,17361.0,16323.0,2018-10-22 14:57:46
