R:6137 6144,7543 7549,G:5213 5196,5545 5527,B:7095 7069,7181 7167,C:16656 16595,19859 19826&&[08:54:26(554)Rx]
R:6157 6144,7578 7549,G:5216 5196,5557 5527,B:7085 7069,7186 7167,C:16668 16595,19907 19826&&[08:57:26(750)Rx]
R:6162 6144,7585 7549,G:5221 5196,5562 5527,B:7093 7069,7188 7167,C:16686 16595,19920 19826&&[09:00:26(995)Rx]
R:6165 6144,7593 7549,G:5225 5196,5569 5527,B:7099 7069,7192 7167,C:16700 16595,19938 19826&&[09:03:25(531)Rx] 
R:6170 6144,7600 7549,G:5229 5196,5575 5527,B:7107 7069,7197 7167,C:16715 16595,19958 19826&&[09:06:27(382)Rx]
R:6172 6144,7605 7549,G:5232 5196,5580 5527,B:7113 7069,7202 7167,C:16726 16595,19970 19826&&[09:09:27(552)Rx]
R:6175 6144,7606 7549,G:5236 5196,5587 5527,B:7119 7069,7243 7167,C:16740 16595,19948 19826&&[09:12:27(786)Rx]
R:6176 6144,7611 7549,G:5238 5196,5590 5527,B:7123 7069,7241 7167,C:16747 16595,19963 19826&&[09:15:26(361)Rx]
R:6181 6144,7621 7549,G:5242 5196,5595 5527,B:7129 7069,7241 7167,C:16761 16595,19989 19826&&[09:18:28(211)Rx]
R:6182 6144,7624 7549,G:5243 5196,5597 5527,B:7131 7069,7243 7167,C:16764 16595,19999 19826&&[09:21:28(408)Rx]
R:6183 6144,7626 7549,G:5245 5196,5599 5527,B:7133 7069,7244 7167,C:16770 16595,20006 19826&&[09:24:28(612)Rx]
R:6184 6144,7629 7549,G:5246 5196,5601 5527,B:7135 7069,7243 7167,C:16774 16595,20012 19826&&[09:27:28(850)Rx]
R:6185 6144,7631 7549,G:5246 5196,5602 5527,B:7135 7069,7251 7167,C:16776 16595,20013 19826&&[09:30:29(021)Rx]
R:6187 6144,7632 7549,G:5248 5196,5604 5527,B:7139 7069,7253 7167,C:16783 16595,20022 19826&&[09:33:29(210)Rx]
R:6187 6144,7632 7549,G:5249 5196,5605 5527,B:7141 7069,7256 7167,C:16787 16595,20026 19826&&[09:36:29(439)Rx]
R:6189 6144,7634 7549,G:5253 5196,5608 5527,B:7149 7069,7260 7167,C:16802 16595,20036 19826&&[09:39:29(662)Rx]
R:6183 6144,7632 7549,G:5250 5196,5609 5527,B:7145 7069,7262 7167,C:16789 16595,20041 19826&&[09:42:29(854)Rx]
R:6184 6144,7635 7549,G:5251 5196,5612 5527,B:7147 7069,7265 7167,C:16795 16595,20051 19826&&[09:45:30(030)Rx]
R:6184 6144,7638 7549,G:5253 5196,5615 5527,B:7150 7069,7271 7167,C:16802 16595,20066 19826&&[09:48:30(284)Rx]
R:6185 6144,7642 7549,G:5255 5196,5619 5527,B:7154 7069,7274 7167,C:16808 16595,20084 19826&&[09:51:30(498)Rx]
R:6177 6144,7628 7549,G:5251 5196,5612 5527,B:7150 7069,7268 7167,C:16793 16595,20056 19826&&[09:54:30(687)Rx]
R:6175 6144,7625 7549,G:5248 5196,5638 5527,B:7145 7069,7248 7167,C:16789 16595,20175 19826&&[09:57:30(923)Rx]
R:6175 6144,7630 7549,G:5248 5196,5640 5527,B:7144 7069,7253 7167,C:16790 16595,20186 19826&&[10:00:31(113)Rx]
R:6175 6144,7630 7549,G:5249 5196,5642 5527,B:7146 7069,7252 7167,C:16791 16595,20197 19826&&[10:03:31(285)Rx]
R:6178 6144,7636 7549,G:5250 5196,5645 5527,B:7146 7069,7255 7167,C:16795 16595,20210 19826&&[10:06:31(511)Rx]
R:6180 6144,7641 7549,G:5250 5196,5647 5527,B:7147 7069,7261 7167,C:16799 16595,20221 19826&&[10:09:35(717)Rx]
R:6180 6144,7642 7549,G:5251 5196,5647 5527,B:7149 7069,7260 7167,C:16800 16595,20234 19826&&[10:12:33(545)Rx]
R:6179 6144,7640 7549,G:5252 5196,5645 5527,B:7152 7069,7264 7167,C:16803 16595,20237 19826&&[10:15:32(130)Rx]
R:6180 6144,7640 7549,G:5253 5196,5646 5527,B:7153 7069,7277 7167,C:16805 16595,20251 19826&&[10:18:32(332)Rx]
R:6182 6144,7643 7549,G:5254 5196,5646 5527,B:7155 7069,7283 7167,C:16810 16595,20256 19826&&[10:21:33(339)Rx]
R:6181 6144,7644 7549,G:5255 5196,5644 5527,B:7156 7069,7273 7167,C:16810 16595,20248 19826&&[10:24:32(760)Rx]
R:6182 6144,7645 7549,G:5255 5196,5645 5527,B:7156 7069,7283 7167,C:16810 16595,20258 19826&&[10:27:33(758)Rx]
R:6182 6144,7645 7549,G:5255 5196,5645 5527,B:7157 7069,7284 7167,C:16811 16595,20257 19826&&[10:30:33(181)Rx]
R:6180 6144,7645 7549,G:5255 5196,5645 5527,B:7157 7069,7286 7167,C:16808 16595,20258 19826&&[10:33:33(373)Rx]
R:6182 6144,7645 7549,G:5256 5196,5646 5527,B:7159 7069,7286 7167,C:16813 16595,20262 19826&&[10:36:33(585)Rx]
R:6182 6144,7645 7549,G:5256 5196,5647 5527,B:7160 7069,7287 7167,C:16814 16595,20263 19826&&[10:39:33(785)Rx]
R:6183 6144,7647 7549,G:5257 5196,5647 5527,B:7162 7069,7289 7167,C:16819 16595,20266 19826&&[10:42:33(991)Rx]
R:6182 6144,7648 7549,G:5257 5196,5648 5527,B:7162 7069,7289 7167,C:16818 16595,20270 19826&&[10:45:34(204)Rx]
R:6183 6144,7649 7549,G:5258 5196,5649 5527,B:7165 7069,7292 7167,C:16823 16595,20272 19826&&[10:48:34(440)Rx]
R:6183 6144,7650 7549,G:5259 5196,5650 5527,B:7167 7069,7294 7167,C:16824 16595,20278 19826&&[10:51:34(631)Rx]
R:6183 6144,7650 7549,G:5259 5196,5650 5527,B:7167 7069,7294 7167,C:16825 16595,20277 19826&&[10:54:34(817)Rx]
R:6183 6144,7649 7549,G:5260 5196,5650 5527,B:7168 7069,7296 7167,C:16826 16595,20280 19826&&[10:57:35(050)Rx]
R:6183 6144,7651 7549,G:5260 5196,5653 5527,B:7171 7069,7301 7167,C:16830 16595,20289 19826&&[11:00:35(242)Rx]
R:6183 6144,7651 7549,G:5262 5196,5653 5527,B:7174 7069,7304 7167,C:16834 16595,20294 19826&&[11:03:35(442)Rx]
R:6183 6144,7653 7549,G:5263 5196,5654 5527,B:7177 7069,7308 7167,C:16838 16595,20299 19826&&[11:06:35(650)Rx]
R:6184 6144,7656 7549,G:5264 5196,5655 5527,B:7179 7069,7312 7167,C:16843 16595,20306 19826&&[11:09:35(890)Rx]
R:6183 6144,7658 7549,G:5264 5196,5655 5527,B:7178 7069,7312 7167,C:16840 16595,20309 19826&&[11:12:36(074)Rx]
R:6184 6144,7659 7549,G:5265 5196,5657 5527,B:7180 7069,7314 7167,C:16844 16595,20312 19826&&[11:15:36(273)Rx]
R:6184 6144,7661 7549,G:5265 5196,5658 5527,B:7181 7069,7316 7167,C:16845 16595,20317 19826&&[11:18:36(488)Rx]
R:6184 6144,7661 7549,G:5265 5196,5657 5527,B:7182 7069,7316 7167,C:16846 16595,20315 19826&&[11:21:36(705)Rx]
R:6185 6144,7662 7549,G:5266 5196,5658 5527,B:7184 7069,7318 7167,C:16850 16595,20317 19826&&[11:24:36(896)Rx]
R:6186 6144,7662 7549,G:5267 5196,5657 5527,B:7185 7069,7318 7167,C:16851 16595,20318 19826&&[11:27:37(066)Rx]
R:6185 6144,7660 7549,G:5267 5196,5658 5527,B:7185 7069,7319 7167,C:16850 16595,20319 19826&&[11:30:37(327)Rx]
R:6185 6144,7662 7549,G:5267 5196,5658 5527,B:7188 7069,7321 7167,C:16855 16595,20322 19826&&[11:33:37(485)Rx]
R:6185 6144,7663 7549,G:5268 5196,5659 5527,B:7189 7069,7323 7167,C:16856 16595,20326 19826&&[11:36:37(686)Rx]
R:6187 6144,7667 7549,G:5269 5196,5661 5527,B:7189 7069,7324 7167,C:16858 16595,20329 19826&&[11:39:38(720)Rx]
R:6186 6144,7667 7549,G:5269 5196,5661 5527,B:7190 7069,7319 7167,C:16859 16595,20329 19826&&[11:42:38(109)Rx]
R:6187 6144,7668 7549,G:5269 5196,5660 5527,B:7189 7069,7317 7167,C:16858 16595,20326 19826&&[11:45:39(113)Rx]
R:6187 6144,7668 7549,G:5270 5196,5660 5527,B:7191 7069,7319 7167,C:16860 16595,20327 19826&&[11:48:38(522)Rx]
