R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
6461,6480,9928,10004,5059,5054,7326,7344,6953,6916,8905,8878,17495,17456,26855,26918,2018-10-22 11:55:07
6471,6480,9996,10004,5074,5054,7376,7344,6987,6916,8962,8878,17567,17456,27053,26918,2018-10-22 11:57:07
6496,6480,9926,10004,5092,5054,7351,7344,7015,6916,8965,8878,17646,17456,26961,26918,2018-10-22 11:59:07
6488,6480,9972,10004,5094,5054,7383,7344,7029,6916,9000,8878,17657,17456,27086,26918,2018-10-22 12:01:07
6478,6480,10017,10004,5093,5054,7412,7344,7040,6916,9029,8878,17663,17456,27204,26918,2018-10-22 12:03:07
6490,6480,9929,10004,5103,5054,7374,7344,7056,6916,9015,8878,17700,17456,27059,26918,2018-10-22 12:05:07
6476,6480,9964,10004,5100,5054,7396,7344,7061,6916,9039,8878,17693,17456,27148,26918,2018-10-22 12:07:09
6531,6480,9998,10004,5127,5054,7417,7344,7082,6916,9059,8878,17800,17456,27227,26918,2018-10-22 12:09:08
6508,6480,10031,10004,5119,5054,7436,7344,7082,6916,9077,8878,17767,17456,27305,26918,2018-10-22 12:11:08
6514,6480,10070,10004,5123,5054,7394,7344,7090,6916,9055,8878,17789,17456,27394,26918,2018-10-22 12:13:08
6495,6480,9965,10004,5116,5054,7408,7344,7090,6916,9068,8878,17763,17456,27197,26918,2018-10-22 12:15:08
6546,6480,9984,10004,5141,5054,7420,7344,7107,6916,9080,8878,17857,17456,27245,26918,2018-10-22 12:17:08
6546,6480,10002,10004,5142,5054,7431,7344,7110,6916,9089,8878,17860,17456,27288,26918,2018-10-22 12:19:08
6515,6480,10020,10004,5128,5054,7442,7344,7105,6916,9101,8878,17811,17456,27334,26918,2018-10-22 12:21:09
6491,6480,10038,10004,5118,5054,7452,7344,7101,6916,9109,8878,17773,17456,27372,26918,2018-10-22 12:23:09
6490,6480,10056,10004,5118,5054,7463,7344,7103,6916,9118,8878,17777,17456,27413,26918,2018-10-22 12:25:09
6531,6480,10079,10004,5137,5054,7476,7344,7116,6916,9128,8878,17851,17456,27464,26918,2018-10-22 12:27:09
6505,6480,10100,10004,5126,5054,7422,7344,7112,6916,9095,8878,17810,17456,27507,26918,2018-10-22 12:29:09
6551,6480,9984,10004,5148,5054,7429,7344,7126,6916,9102,8878,17892,17456,27284,26918,2018-10-22 12:31:10
6548,6480,9997,10004,5147,5054,7437,7344,7127,6916,9109,8878,17889,17456,27314,26918,2018-10-22 12:33:10
6518,6480,10010,10004,5134,5054,7445,7344,7120,6916,9115,8878,17839,17456,27344,26918,2018-10-22 12:35:10
6565,6480,10019,10004,5122,5054,7450,7344,7114,6916,9120,8878,17922,17456,27366,26918,2018-10-22 12:37:10
6556,6480,10028,10004,5152,5054,7455,7344,7132,6916,9124,8878,17908,17456,27383,26918,2018-10-22 12:39:10
6520,6480,10036,10004,5136,5054,7459,7344,7125,6916,9128,8878,17850,17456,27398,26918,2018-10-22 12:41:10
6564,6480,10039,10004,5156,5054,7462,7344,7118,6916,9130,8878,17926,17456,27411,26918,2018-10-22 12:43:10
6553,6480,10044,10004,5151,5054,7465,7344,7135,6916,9133,8878,17907,17456,27424,26918,2018-10-22 12:45:10
6516,6480,10049,10004,5134,5054,7468,7344,7127,6916,9137,8878,17847,17456,27434,26918,2018-10-22 12:47:11
6558,6480,10057,10004,5155,5054,7472,7344,7139,6916,9140,8878,17922,17456,27452,26918,2018-10-22 12:49:11
6549,6480,10066,10004,5151,5054,7477,7344,7138,6916,9144,8878,17908,17456,27473,26918,2018-10-22 12:51:11
6514,6480,10074,10004,5135,5054,7482,7344,7129,6916,9148,8878,17848,17456,27491,26918,2018-10-22 12:53:12
6554,6480,10081,10004,5154,5054,7486,7344,7140,6916,9151,8878,17919,17456,27508,26918,2018-10-22 12:55:12
6520,6480,10091,10004,5138,5054,7491,7344,7133,6916,9155,8878,17862,17456,27526,26918,2018-10-22 12:57:11
6513,6480,10097,10004,5135,5054,7495,7344,7132,6916,9159,8878,17852,17456,27540,26918,2018-10-22 12:59:11
6553,6480,10104,10004,5154,5054,7499,7344,7143,6916,9161,8878,17921,17456,27555,26918,2018-10-22 13:01:11
6520,6480,10114,10004,5139,5054,7504,7344,7135,6916,9165,8878,17864,17456,27576,26918,2018-10-22 13:03:12
6512,6480,10118,10004,5135,5054,7506,7344,7133,6916,9167,8878,17850,17456,27585,26918,2018-10-22 13:05:12
6550,6480,10123,10004,5153,5054,7509,7344,7144,6916,9127,8878,17919,17456,27596,26918,2018-10-22 13:07:12
6515,6480,10128,10004,5137,5054,7512,7344,7136,6916,9129,8878,17861,17456,27607,26918,2018-10-22 13:09:12
6514,6480,10010,10004,5136,5054,7453,7344,7135,6916,9134,8878,17856,17456,27379,26918,2018-10-22 13:11:12
6551,6480,10015,10004,5154,5054,7456,7344,7145,6916,9137,8878,17922,17456,27391,26918,2018-10-22 13:13:12
6517,6480,10020,10004,5138,5054,7458,7344,7138,6916,9138,8878,17865,17456,27399,26918,2018-10-22 13:15:12
