,R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
0,3212.0,3202.0,3833.0,3813.0,3136.0,3134.0,3387.0,3379.0,4568.0,4572.0,4602.0,4604.0,9480.0,9472.0,11200.0,11171.0,2018-11-01 15:40:47
1,3208.0,3202.0,3800.0,3813.0,3135.0,3134.0,3373.0,3379.0,4569.0,4572.0,4603.0,4604.0,9477.0,9472.0,11150.0,11171.0,2018-11-01 15:42:47
2,3217.0,3202.0,3797.0,3813.0,3137.0,3134.0,3372.0,3379.0,4572.0,4572.0,4602.0,4604.0,9483.0,9472.0,11146.0,11171.0,2018-11-01 15:44:48
3,3212.0,3202.0,3794.0,3813.0,3136.0,3134.0,3371.0,3379.0,4567.0,4572.0,4602.0,4604.0,9479.0,9472.0,11141.0,11171.0,2018-11-01 15:46:48
4,3197.0,3202.0,3803.0,3813.0,3132.0,3134.0,3374.0,3379.0,4571.0,4572.0,4602.0,4604.0,9465.0,9472.0,11152.0,11171.0,2018-11-01 15:48:48
5,3204.0,3202.0,3800.0,3813.0,3133.0,3134.0,3373.0,3379.0,4569.0,4572.0,4602.0,4604.0,9470.0,9472.0,11147.0,11171.0,2018-11-01 15:50:48
6,3200.0,3202.0,3807.0,3813.0,3133.0,3134.0,3376.0,3379.0,4570.0,4572.0,4602.0,4604.0,9468.0,9472.0,11159.0,11171.0,2018-11-01 15:52:48
7,3208.0,3202.0,3804.0,3813.0,3134.0,3134.0,3374.0,3379.0,4568.0,4572.0,4602.0,4604.0,9474.0,9472.0,11154.0,11171.0,2018-11-01 15:54:48
8,3203.0,3202.0,3801.0,3813.0,3133.0,3134.0,3373.0,3379.0,4570.0,4572.0,4601.0,4604.0,9470.0,9472.0,11149.0,11171.0,2018-11-01 15:56:48
9,3211.0,3202.0,3808.0,3813.0,3135.0,3134.0,3376.0,3379.0,4566.0,4572.0,4601.0,4604.0,9476.0,9472.0,11159.0,11171.0,2018-11-01 15:58:48
10,3196.0,3202.0,3805.0,3813.0,3131.0,3134.0,3375.0,3379.0,4570.0,4572.0,4601.0,4604.0,9462.0,9472.0,11155.0,11171.0,2018-11-01 16:00:49
11,3214.0,3202.0,3812.0,3813.0,3135.0,3134.0,3378.0,3379.0,4564.0,4572.0,4601.0,4604.0,9477.0,9472.0,11166.0,11171.0,2018-11-01 16:02:49
12,3197.0,3202.0,3808.0,3813.0,3131.0,3134.0,3375.0,3379.0,4569.0,4572.0,4601.0,4604.0,9463.0,9472.0,11159.0,11171.0,2018-11-01 16:04:49
13,3194.0,3202.0,3804.0,3813.0,3130.0,3134.0,3374.0,3379.0,4570.0,4572.0,4601.0,4604.0,9460.0,9472.0,11153.0,11171.0,2018-11-01 16:06:49
14,3202.0,3202.0,3816.0,3813.0,3132.0,3134.0,3379.0,3379.0,4568.0,4572.0,4601.0,4604.0,9467.0,9472.0,11171.0,11171.0,2018-11-01 16:08:49
15,3197.0,3202.0,3812.0,3813.0,3130.0,3134.0,3377.0,3379.0,4568.0,4572.0,4600.0,4604.0,9462.0,9472.0,11164.0,11171.0,2018-11-01 16:10:49
