R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
3573,6480,5369,10004,2981,5054,4194,7344,4338,6916,5322,8878,2018-11-05 14:46:59
3551,6480,5352,10004,2970,5054,4185,7344,4331,6916,5315,8878,2018-11-05 14:49:00
3556,6480,5337,10004,2972,5054,4177,7344,4333,6916,5310,8878,2018-11-05 14:50:59
3562,6480,5393,10004,2975,5054,4206,7344,4334,6916,5305,8878,2018-11-05 14:53:00
3569,6480,5372,10004,2978,5054,4195,7344,4336,6916,5321,8878,2018-11-05 14:55:00
3547,6480,5353,10004,2968,5054,4185,7344,4329,6916,5315,8878,2018-11-05 14:57:00
3552,6480,5339,10004,2970,5054,4178,7344,4331,6916,5310,8878,2018-11-05 14:59:00
3558,6480,5396,10004,2973,5054,4206,7344,4332,6916,5305,8878,2018-11-05 15:01:00
3540,6480,5375,10004,2964,5054,4196,7344,4326,6916,5322,8878,2018-11-05 15:03:01
3544,6480,5355,10004,2966,5054,4185,7344,4327,6916,5314,8878,2018-11-05 15:05:01
3549,6480,5342,10004,2968,5054,4178,7344,4329,6916,5310,8878,2018-11-05 15:07:00
3569,6480,5329,10004,2977,5054,4172,7344,4334,6916,5305,8878,2018-11-05 15:09:01
3577,6480,5379,10004,2981,5054,4197,7344,4324,6916,5322,8878,2018-11-05 15:11:01
3541,6480,5360,10004,2964,5054,4188,7344,4326,6916,5315,8878,2018-11-05 15:13:01
3557,6480,5342,10004,2972,5054,4178,7344,4330,6916,5309,8878,2018-11-05 15:15:01
3562,6480,5325,10004,2974,5054,4169,7344,4331,6916,5302,8878,2018-11-05 15:17:01
3567,6480,5373,10004,2976,5054,4194,7344,4332,6916,5318,8878,2018-11-05 15:19:01
3545,6480,5354,10004,2966,5054,4184,7344,4326,6916,5311,8878,2018-11-05 15:21:01
3550,6480,5337,10004,2968,5054,4175,7344,4327,6916,5306,8878,2018-11-05 15:23:02
3555,6480,5392,10004,2970,5054,4203,7344,4328,6916,5300,8878,2018-11-05 15:25:02
3560,6480,5369,10004,2972,5054,4191,7344,4329,6916,5315,8878,2018-11-05 15:27:02
3541,6480,5352,10004,2964,5054,4182,7344,4323,6916,5310,8878,2018-11-05 15:29:02
3546,6480,5337,10004,2966,5054,4174,7344,4324,6916,5304,8878,2018-11-05 15:31:03
3552,6480,5325,10004,2968,5054,4168,7344,4326,6916,5299,8878,2018-11-05 15:33:02
3574,6480,5376,10004,2978,5054,4194,7344,4332,6916,5316,8878,2018-11-05 15:35:02
3539,6480,5356,10004,2962,5054,4184,7344,4322,6916,5309,8878,2018-11-05 15:37:03
3545,6480,5341,10004,2965,5054,4176,7344,4324,6916,5304,8878,2018-11-05 15:39:03
3562,6480,5327,10004,2973,5054,4168,7344,4328,6916,5299,8878,2018-11-05 15:41:03
3570,6480,5379,10004,2976,5054,4195,7344,4329,6916,5316,8878,2018-11-05 15:43:03
3538,6480,5360,10004,2961,5054,4185,7344,4320,6916,5309,8878,2018-11-05 15:45:03
3554,6480,5343,10004,2968,5054,4176,7344,4324,6916,5303,8878,2018-11-05 15:47:03
3560,6480,5328,10004,2971,5054,4169,7344,4326,6916,5298,8878,2018-11-05 15:49:04
3568,6480,5381,10004,2975,5054,4195,7344,4328,6916,5315,8878,2018-11-05 15:51:04
3575,6480,5363,10004,2960,5054,4186,7344,4318,6916,5309,8878,2018-11-05 15:53:04
3551,6480,5345,10004,2967,5054,4176,7344,4323,6916,5301,8878,2018-11-05 15:55:04
3558,6480,5333,10004,2970,5054,4170,7344,4325,6916,5297,8878,2018-11-05 15:57:04
3566,6480,5321,10004,2974,5054,4164,7344,4326,6916,5293,8878,2018-11-05 15:59:04
3545,6480,5373,10004,2964,5054,4190,7344,4321,6916,5310,8878,2018-11-05 16:01:04
3551,6480,5354,10004,2967,5054,4180,7344,4322,6916,5304,8878,2018-11-05 16:03:05
3557,6480,5339,10004,2969,5054,4173,7344,4324,6916,5299,8878,2018-11-05 16:05:05
3539,6480,5325,10004,2961,5054,4166,7344,4318,6916,5294,8878,2018-11-05 16:07:05
3545,6480,5380,10004,2963,5054,4194,7344,4320,6916,5312,8878,2018-11-05 16:09:05
3551,6480,5364,10004,2966,5054,4185,7344,4321,6916,5307,8878,2018-11-05 16:11:05
3574,6480,5350,10004,2958,5054,4178,7344,4316,6916,5302,8878,2018-11-05 16:13:05
3540,6480,5335,10004,2961,5054,4171,7344,4318,6916,5297,8878,2018-11-05 16:15:05
3547,6480,5325,10004,2964,5054,4165,7344,4320,6916,5293,8878,2018-11-05 16:17:06
3552,6480,5378,10004,2966,5054,4192,7344,4321,6916,5310,8878,2018-11-05 16:19:06
3574,6480,5357,10004,2958,5054,4181,7344,4315,6916,5303,8878,2018-11-05 16:21:06
3539,6480,5340,10004,2960,5054,4172,7344,4317,6916,5297,8878,2018-11-05 16:23:06
